date,flow_almadale_mean,flow_almadale_max,flow_almadale_min,rain_rangiwahia_total,rain_cheltenham_total,rain_halcombe_total,rain_mangaone_valley_total,rain_rangiwahia_maxhr,rain_cheltenham_maxhr,rain_halcombe_maxhr,rain_mangaone_valley_maxhr,wt_almadale_mean,wt_almadale_max,wt_almadale_min,flow_almadale_mean_lag1,flow_almadale_max_lag1,flow_almadale_min_lag1,rain_rangiwahia_total_lag1,rain_cheltenham_total_lag1,rain_halcombe_total_lag1,rain_mangaone_valley_total_lag1,rain_rangiwahia_maxhr_lag1,rain_cheltenham_maxhr_lag1,rain_halcombe_maxhr_lag1,rain_mangaone_valley_maxhr_lag1,wt_almadale_mean_lag1,wt_almadale_max_lag1,wt_almadale_min_lag1,flow_almadale_mean_lag2,flow_almadale_max_lag2,flow_almadale_min_lag2,rain_rangiwahia_total_lag2,rain_cheltenham_total_lag2,rain_halcombe_total_lag2,rain_mangaone_valley_total_lag2,rain_rangiwahia_maxhr_lag2,rain_cheltenham_maxhr_lag2,rain_halcombe_maxhr_lag2,rain_mangaone_valley_maxhr_lag2,wt_almadale_mean_lag2,wt_almadale_max_lag2,wt_almadale_min_lag2,flow_almadale_mean_lag3,flow_almadale_max_lag3,flow_almadale_min_lag3,rain_rangiwahia_total_lag3,rain_cheltenham_total_lag3,rain_halcombe_total_lag3,rain_mangaone_valley_total_lag3,rain_rangiwahia_maxhr_lag3,rain_cheltenham_maxhr_lag3,rain_halcombe_maxhr_lag3,rain_mangaone_valley_maxhr_lag3,wt_almadale_mean_lag3,wt_almadale_max_lag3,wt_almadale_min_lag3,rain_heavy_count_7d,flow_high_count_7d,ecoli_cfu,label
2005-07-13,1702384.12,26725.2,13828.04,8.62,1.66,0.5,1.06,,,,,7.15,7.7,6.7,1483364.17,20719.2,13970.55,5.39,3.86,3.01,3.7,,,,,6.64,7.4,6.1,1737894.58,22765.42,18366.3,11.86,3.31,2.01,0.0,,,,,7.46,7.8,7.1,2422416.03,58362.77,10248.55,29.66,4.42,3.01,2.64,,,,,8.61,9.7,7.8,0.0,2.0,74.99999999999997,0.0
2005-09-14,147047.81,1735.65,1653.91,0.0,0.0,0.0,0.0,,,,,15.44,20.0,11.8,148899.67,1777.71,1653.91,0.0,0.0,0.0,0.0,,,,,14.32,18.8,10.6,149942.31,1842.3,1674.04,0.0,0.0,0.0,0.0,,,,,13.33,17.6,9.7,151279.57,1842.3,1714.91,0.0,0.0,0.0,0.0,,,,,12.99,16.6,10.0,0.0,0.0,49.99999999999999,0.0
2006-01-18,268599.8,3208.33,2933.06,0.0,0.0,0.0,0.0,,,,,19.96,25.0,15.1,289968.78,3517.81,3157.68,0.0,0.0,0.0,0.0,,,,,19.58,24.4,15.4,319666.01,3890.98,3465.56,0.0,0.0,0.0,0.0,,,,,20.55,24.3,17.9,336564.51,4029.11,3729.45,1.65,0.99,0.52,0.49,,,,,21.61,26.2,18.0,0.0,0.0,49.99999999999999,0.0
2006-02-15,296139.68,3729.45,3157.68,0.0,1.03,0.47,1.1,,,,,20.77,24.7,17.8,356556.08,4418.64,3676.14,0.0,0.0,0.0,0.0,,,,,19.48,23.7,16.5,471190.19,7016.32,4418.64,0.55,0.51,0.0,0.0,,,,,18.41,20.9,16.9,1048702.29,26606.06,7016.32,3.3,1.03,1.42,0.55,,,,,17.94,20.7,14.8,0.0,0.0,40.0,0.0
2006-03-15,182113.16,2242.98,1934.93,0.0,0.0,0.0,0.0,,,,,15.5,20.7,11.0,203741.75,2523.49,2175.32,0.0,0.0,0.0,0.0,,,,,15.1,19.7,11.6,233224.55,2933.06,2452.22,0.0,0.0,0.0,0.0,,,,,16.38,19.4,13.9,281766.4,3702.76,2859.38,0.0,0.0,0.0,0.0,,,,,16.91,21.0,13.8,0.0,0.0,184.99999999999991,0.0
2006-04-12,978500.9,25404.76,9276.34,28.58,11.22,1.51,12.74,,,,,12.66,14.3,11.4,818846.91,11764.24,7780.12,4.76,4.39,14.05,7.14,,,,,12.98,14.5,11.7,573162.7,8173.86,5854.86,5.82,5.37,5.52,2.55,,,,,13.92,14.6,13.2,531620.95,9870.64,4000.0,11.11,7.32,7.53,6.63,,,,,14.44,16.4,12.5,0.0,0.0,2499.9999999999995,1.0
2006-05-08,1108297.18,15608.92,10782.04,0.52,0.0,0.0,0.0,,,,,11.12,11.9,10.4,1119240.09,16997.78,9117.49,12.41,0.55,0.0,0.0,,,,,11.49,12.5,10.8,888068.44,11819.86,9199.91,9.82,0.0,0.0,0.51,,,,,10.67,11.1,10.0,1282000.01,20846.22,11727.9,0.52,0.0,0.0,0.0,,,,,11.34,12.5,10.3,0.0,3.0,19.999999999999996,0.0
2006-06-14,1424540.79,27355.9,10693.84,4.14,1.65,3.82,2.09,,,,,7.29,8.9,5.9,662697.06,15977.41,5730.21,15.51,36.85,22.46,28.71,,,,,9.1,10.1,8.3,515928.05,6274.73,5630.5,2.07,0.55,0.0,0.0,,,,,9.06,10.1,8.3,544114.95,6949.22,5696.89,3.1,0.0,0.0,0.0,,,,,8.38,9.6,7.1,0.0,0.0,159.99999999999994,0.0
2006-07-19,2391521.11,29801.34,25797.23,0.0,0.0,0.0,0.0,,,,,7.55,8.3,6.6,2814519.11,35495.54,29611.83,0.0,0.0,0.0,0.0,,,,,7.28,8.1,6.1,3924884.97,60789.24,35495.54,0.52,1.01,0.0,1.04,,,,,7.87,8.5,7.3,5670475.57,88891.49,46923.21,9.82,1.01,0.96,2.09,,,,,7.48,8.1,7.0,0.0,7.0,110.00000000000004,0.0
2006-08-09,1368611.85,19580.26,10220.59,23.27,10.76,10.52,8.35,,,,,8.95,9.8,8.3,1293748.89,25917.75,11309.09,2.07,5.87,9.08,4.7,,,,,9.5,10.9,8.4,1138749.2,34899.33,6532.25,17.06,15.65,18.64,15.14,,,,,9.17,9.5,8.7,703807.81,9911.3,6861.95,0.0,0.0,0.0,0.0,,,,,9.58,10.3,8.7,0.0,0.0,144.99999999999997,0.0
